lms_code,lms_customer_id,lms_application_id,loan_number,state,product,pay_frequency,isuniqueaccept,application_status,origination_loan_id,is_originated,campaign_name,provider_name,lead_cost,lead_sequence_id,withdrawn_time,withdrawn_reason,received_time,insert_date,is_from_HB,first_visit_wel_time,timediff_visit_wel,Is_redirect_all,1_visit_wel_all,is_hit_wel_within_3hr,is_in_AFR,first_in_time,has_outbound_call,has_inbound_call,timediff_inbound_call
JAG,1141923,1436018,1153506,TN,LOC,B,1,Withdrawn,,0,LM-TNLOC-ET,Leads Market,11,2310153426,11/15/2019 15:09,Bad Contact Information,11/15/2019 2:13,11/15/2019 2:13,1,,,0,0,0,1,,1,0,
JAG,1141927,1436023,1153511,TN,LOC,B,1,Withdrawn,,0,#GREEN-FPLOC#,Green LLC,6,2310154894,11/16/2019 11:54,Refused to verify account information,11/15/2019 2:58,11/15/2019 2:58,1,,,0,0,0,1,,1,0,
JAG,1141987,1436110,1153598,TX,IPP,W,1,Withdrawn,,0,#LMARKET-FPTX#,Leads Market,11,2310171397,11/18/2019 23:35,Auto-Withdraw,11/15/2019 7:51,11/15/2019 7:51,1,,,0,0,0,1,,1,0,
JAG,1142009,1436137,1153625,TX,IPP,M,1,Withdrawn,,0,#ITM-FPTX#,ITMEDIA,6,2310175284,11/15/2019 9:00,Possible Fraud,11/15/2019 8:14,11/15/2019 8:14,1,,,0,0,0,1,,0,0,
JAG,1142030,1436164,1153652,TX,IPP,M,1,Withdrawn,,0,#SFL-FPAT-TX#,Store Front Lender AT,5,2310179031,11/18/2019 23:35,Auto-Withdraw,11/15/2019 8:31,11/15/2019 8:31,1,,,0,0,0,1,,1,0,
JAG,1142043,1436181,1153669,TX,IPP,B,1,Withdrawn,,0,#ITM-FPTX#,ITMEDIA,6,2310182070,11/18/2019 23:35,Auto-Withdraw,11/15/2019 8:44,11/15/2019 8:44,1,11/15/2019 8:51,433,0,1,1,1,,1,0,
JAG,1142049,1436187,1153675,TX,IPP,M,1,Withdrawn,,0,#LMARKET-FPTX#,Leads Market,11,2310182708,11/18/2019 23:35,Auto-Withdraw,11/15/2019 8:47,11/15/2019 8:47,1,,,0,0,0,1,,1,0,
JAG,1142048,1436186,1153674,TX,IPP,M,1,Withdrawn,,0,ITM-TX-DT,ITMEDIA,21,2310182709,11/18/2019 23:35,Auto-Withdraw,11/15/2019 8:46,11/15/2019 8:46,1,,,0,0,0,1,,1,0,
JAG,1142053,1436194,1153682,TX,IPP,M,1,Withdrawn,,0,#MMUTUAL-FP#,Acquire Interactive,10,2310184111,11/15/2019 9:09,Bad Contact Information,11/15/2019 8:51,11/15/2019 8:51,1,,,0,0,0,1,,1,0,
JAG,1142078,1436224,1153712,TX,IPP,B,1,Withdrawn,,0,SFL-TX-VIP,Store Front Lender,36,2310189397,11/18/2019 23:35,Auto-Withdraw,11/15/2019 9:09,11/15/2019 9:09,1,,,0,0,0,1,,1,0,
JAG,1142112,1436270,1153758,TX,IPP,B,1,Withdrawn,,0,#ZEROP-FP#,Zero Parallel,7,2310198829,11/18/2019 23:35,Auto-Withdraw,11/15/2019 9:34,11/15/2019 9:34,1,,,0,0,0,1,,1,0,
JAG,1142122,1436281,1153769,TX,IPP,M,1,Withdrawn,,0,EPC-ALL-VIP1000,EPCVIP,25,2310200779,11/18/2019 23:35,Auto-Withdraw,11/15/2019 9:40,11/15/2019 9:40,1,,,0,0,0,1,,1,0,
